RU;31;373;TransparentCalls;0.69;461;63;38
US;14;495;E-Voice;0.79;933;46;52
GB;96;1337;TransparentCalls;0.76;881;83;28
FR;9;613;TransparentCalls;0.63;354;44;25
BL;6;544;E-Voice;0.61;757;87;37
AT;70;385;TransparentCalls;0.77;938;73;3
BG;47;838;E-Voice;0.98;23;1;33
DK;44;370;JustPhone;0.88;301;22;30
CA;59;500;JustPhone;0.89;622;56;24
ES;99;32;E-Voice;0.71;535;85;45
CH;98;169;JustPhone;0.95;417;61;18
TR;99;1170;TransparentCalls;0.92;676;53;8
PE;27;1975;JustPhone;0.98;547;43;27
NZ;15;1342;JustPhone;0.83;794;63;56
MC;30;133;E-Voice;0.75;632;16;45
